,Assay,Sample,Ct,treatment,time,cell_line,replicate
86525,TGFBR1,TGFb_24_H_3,25.60038,TGFb,24,H,3
86526,VIM,TGFb_24_H_3,17.35683,TGFb,24,H,3
86527,TP53BP1,TGFb_24_H_3,24.91091,TGFb,24,H,3
86528,ADAMTS1,TGFb_24_H_3,25.95195,TGFb,24,H,3
86529,B2M,TGFb_24_H_3,20.50763,TGFb,24,H,3
86530,BHLHE40,TGFb_24_H_3,27.91783,TGFb,24,H,3
86531,ITGA1,TGFb_24_H_3,25.94436,TGFb,24,H,3
86532,JUN,TGFb_24_H_3,25.61143,TGFb,24,H,3
86533,LARP6,TGFb_24_H_3,25.20364,TGFb,24,H,3
86534,LOXL2,TGFb_24_H_3,28.41405,TGFb,24,H,3
86535,THBS1,TGFb_24_H_3,22.17274,TGFb,24,H,3
86536,CTGF,TGFb_24_H_3,22.37025,TGFb,24,H,3
86537,EGR2,TGFb_24_H_3,NA,TGFb,24,H,3
86538,ENG,TGFb_24_H_3,24.72741,TGFb,24,H,3
86539,FBLN1,TGFb_24_H_3,19.11106,TGFb,24,H,3
86540,PPIA,TGFb_24_H_3,22.36447,TGFb,24,H,3
86541,PTEN,TGFb_24_H_3,25.00877,TGFb,24,H,3
86542,RARG,TGFb_24_H_3,25.24104,TGFb,24,H,3
86543,SERPINE1,TGFb_24_H_3,24.0199,TGFb,24,H,3
86544,VCAN,TGFb_24_H_3,23.10327,TGFb,24,H,3
86545,CAV1,TGFb_96_E_3,22.03246,TGFb,96,E,3
86547,COL1A1,TGFb_96_E_3,17.62993,TGFb,96,E,3
86549,LTBP2,TGFb_96_E_3,21.7499,TGFb,96,E,3
86550,MMP13,TGFb_96_E_3,28.996,TGFb,96,E,3
86551,MMP2,TGFb_96_E_3,20.18152,TGFb,96,E,3
86552,PDGFA,TGFb_96_E_3,28.76634,TGFb,96,E,3
86553,THBS2,TGFb_96_E_3,22.56671,TGFb,96,E,3
86554,FBN1,TGFb_96_E_3,21.56643,TGFb,96,E,3
86555,FN1,TGFb_96_E_3,17.27036,TGFb,96,E,3
86556,GADD45B,TGFb_96_E_3,25.12743,TGFb,96,E,3
86557,HAS2,TGFb_96_E_3,27.59843,TGFb,96,E,3
86558,SERPINE2,TGFb_96_E_3,18.42727,TGFb,96,E,3
86559,SKIL,TGFb_96_E_3,24.48786,TGFb,96,E,3
86560,SMAD7,TGFb_96_E_3,27.13582,TGFb,96,E,3
86561,TGFB1,TGFb_96_E_3,24.57719,TGFb,96,E,3
86562,VEGFA,TGFb_96_E_3,26.16436,TGFb,96,E,3
86564,ACTA2,TGFb_96_E_3,20.6706,TGFb,96,E,3
86565,ATP6AP1,TGFb_96_E_3,24.74773,TGFb,96,E,3
86566,BGN,TGFb_96_E_3,21.65542,TGFb,96,E,3
86567,IL6,TGFb_96_E_3,27.52729,TGFb,96,E,3
86568,ITGA2,TGFb_96_E_3,27.24018,TGFb,96,E,3
86569,JUNB,TGFb_96_E_3,25.23576,TGFb,96,E,3
86570,LOXL1,TGFb_96_E_3,22.38958,TGFb,96,E,3
86571,TGFBR2,TGFb_96_E_3,23.41169,TGFb,96,E,3
86572,COL5A1,TGFb_96_E_3,25.62389,TGFb,96,E,3
86573,DCN,TGFb_96_E_3,20.3058,TGFb,96,E,3
86574,ELN,TGFb_96_E_3,22.76399,TGFb,96,E,3
86575,ETS1,TGFb_96_E_3,26.63,TGFb,96,E,3
86576,CDKN2A,TGFb_96_E_3,26.02174,TGFb,96,E,3
86577,PSMD14,TGFb_96_E_3,26.70073,TGFb,96,E,3
86578,RARA,TGFb_96_E_3,27.6003,TGFb,96,E,3
86579,RHOB,TGFb_96_E_3,23.54133,TGFb,96,E,3
86580,TIMP3,TGFb_96_E_3,22.24801,TGFb,96,E,3
86581,PPP3CA,TGFb_96_E_3,24.00347,TGFb,96,E,3
86582,CDKN2B,TGFb_96_E_3,27.9983,TGFb,96,E,3
86583,COL1A2,TGFb_96_E_3,18.71931,TGFb,96,E,3
86584,COL4A1,TGFb_96_E_3,23.01374,TGFb,96,E,3
86585,MMP1,TGFb_96_E_3,27.44485,TGFb,96,E,3
86586,MMP14,TGFb_96_E_3,22.69783,TGFb,96,E,3
86587,NOX4,TGFb_96_E_3,24.92888,TGFb,96,E,3
86588,PMEPA1,TGFb_96_E_3,24.52018,TGFb,96,E,3
86589,TIMP1,TGFb_96_E_3,19.23656,TGFb,96,E,3
86590,FGF2,TGFb_96_E_3,24.76701,TGFb,96,E,3
86592,GUSB,TGFb_96_E_3,26.7201,TGFb,96,E,3
86593,ID1,TGFb_96_E_3,25.87476,TGFb,96,E,3
86594,SKI,TGFb_96_E_3,24.43897,TGFb,96,E,3
86595,SMAD3,TGFb_96_E_3,25.3828,TGFb,96,E,3
86596,SPARC,TGFb_96_E_3,19.37157,TGFb,96,E,3
86597,TGFBR1,TGFb_96_E_3,24.47397,TGFb,96,E,3
86598,VIM,TGFb_96_E_3,19.40141,TGFb,96,E,3
86599,TP53BP1,TGFb_96_E_3,24.80894,TGFb,96,E,3
86600,ADAMTS1,TGFb_96_E_3,25.28125,TGFb,96,E,3
86601,B2M,TGFb_96_E_3,21.27922,TGFb,96,E,3
86602,BHLHE40,TGFb_96_E_3,27.53003,TGFb,96,E,3
86603,ITGA1,TGFb_96_E_3,25.68758,TGFb,96,E,3
86604,JUN,TGFb_96_E_3,24.21171,TGFb,96,E,3
86605,LARP6,TGFb_96_E_3,25.83411,TGFb,96,E,3
86606,LOXL2,TGFb_96_E_3,24.36886,TGFb,96,E,3
86607,THBS1,TGFb_96_E_3,19.43797,TGFb,96,E,3
86608,CTGF,TGFb_96_E_3,20.48235,TGFb,96,E,3
86609,EGR2,TGFb_96_E_3,26.66852,TGFb,96,E,3
86610,ENG,TGFb_96_E_3,24.49184,TGFb,96,E,3
86611,FBLN1,TGFb_96_E_3,19.28073,TGFb,96,E,3
86612,PPIA,TGFb_96_E_3,22.71835,TGFb,96,E,3
86613,PTEN,TGFb_96_E_3,23.61146,TGFb,96,E,3
86614,RARG,TGFb_96_E_3,26.08784,TGFb,96,E,3
86615,SERPINE1,TGFb_96_E_3,21.50462,TGFb,96,E,3
86616,VCAN,TGFb_96_E_3,23.39462,TGFb,96,E,3
86617,CAV1,TGFb_0.5_H_3,21.06124,TGFb,0.5,H,3
86619,COL1A1,TGFb_0.5_H_3,21.7117,TGFb,0.5,H,3
86621,LTBP2,TGFb_0.5_H_3,23.43211,TGFb,0.5,H,3
86622,MMP13,TGFb_0.5_H_3,30.81265,TGFb,0.5,H,3
86623,MMP2,TGFb_0.5_H_3,20.87373,TGFb,0.5,H,3
86624,PDGFA,TGFb_0.5_H_3,32.9473,TGFb,0.5,H,3
86625,THBS2,TGFb_0.5_H_3,23.02629,TGFb,0.5,H,3
86626,FBN1,TGFb_0.5_H_3,21.81248,TGFb,0.5,H,3
86627,FN1,TGFb_0.5_H_3,17.87949,TGFb,0.5,H,3
86628,GADD45B,TGFb_0.5_H_3,28.11051,TGFb,0.5,H,3
86629,HAS2,TGFb_0.5_H_3,27.41466,TGFb,0.5,H,3
86630,SERPINE2,TGFb_0.5_H_3,25.15792,TGFb,0.5,H,3
86631,SKIL,TGFb_0.5_H_3,26.95542,TGFb,0.5,H,3
86632,SMAD7,TGFb_0.5_H_3,29.59808,TGFb,0.5,H,3
86633,TGFB1,TGFb_0.5_H_3,25.44973,TGFb,0.5,H,3
86634,VEGFA,TGFb_0.5_H_3,26.97776,TGFb,0.5,H,3
86636,ACTA2,TGFb_0.5_H_3,25.62831,TGFb,0.5,H,3
86637,ATP6AP1,TGFb_0.5_H_3,25.23939,TGFb,0.5,H,3
86638,BGN,TGFb_0.5_H_3,26.53645,TGFb,0.5,H,3
86639,IL6,TGFb_0.5_H_3,29.71953,TGFb,0.5,H,3
86640,ITGA2,TGFb_0.5_H_3,27.4889,TGFb,0.5,H,3
86641,JUNB,TGFb_0.5_H_3,26.78133,TGFb,0.5,H,3
86642,LOXL1,TGFb_0.5_H_3,24.43073,TGFb,0.5,H,3
86643,TGFBR2,TGFb_0.5_H_3,24.15538,TGFb,0.5,H,3
86644,COL5A1,TGFb_0.5_H_3,28.24175,TGFb,0.5,H,3
86645,DCN,TGFb_0.5_H_3,19.31991,TGFb,0.5,H,3
86646,ELN,TGFb_0.5_H_3,30.91082,TGFb,0.5,H,3
86647,ETS1,TGFb_0.5_H_3,27.36088,TGFb,0.5,H,3
86648,CDKN2A,TGFb_0.5_H_3,26.7801,TGFb,0.5,H,3
86649,PSMD14,TGFb_0.5_H_3,26.56978,TGFb,0.5,H,3
86650,RARA,TGFb_0.5_H_3,28.03985,TGFb,0.5,H,3
86651,RHOB,TGFb_0.5_H_3,25.59016,TGFb,0.5,H,3
86652,TIMP3,TGFb_0.5_H_3,22.27835,TGFb,0.5,H,3
86653,PPP3CA,TGFb_0.5_H_3,25.12559,TGFb,0.5,H,3
86654,CDKN2B,TGFb_0.5_H_3,31.50108,TGFb,0.5,H,3
86655,COL1A2,TGFb_0.5_H_3,21.28973,TGFb,0.5,H,3
86656,COL4A1,TGFb_0.5_H_3,26.84038,TGFb,0.5,H,3
86657,MMP1,TGFb_0.5_H_3,22.70367,TGFb,0.5,H,3
86658,MMP14,TGFb_0.5_H_3,22.244,TGFb,0.5,H,3
86659,NOX4,TGFb_0.5_H_3,NA,TGFb,0.5,H,3
86660,PMEPA1,TGFb_0.5_H_3,29.16846,TGFb,0.5,H,3
86661,TIMP1,TGFb_0.5_H_3,20.18692,TGFb,0.5,H,3
86662,FGF2,TGFb_0.5_H_3,27.69005,TGFb,0.5,H,3
86664,GUSB,TGFb_0.5_H_3,27.16972,TGFb,0.5,H,3
86665,ID1,TGFb_0.5_H_3,27.91459,TGFb,0.5,H,3
86666,SKI,TGFb_0.5_H_3,24.48632,TGFb,0.5,H,3
86667,SMAD3,TGFb_0.5_H_3,25.16196,TGFb,0.5,H,3
86668,SPARC,TGFb_0.5_H_3,22.22322,TGFb,0.5,H,3
86669,TGFBR1,TGFb_0.5_H_3,28.05867,TGFb,0.5,H,3
86670,VIM,TGFb_0.5_H_3,17.63855,TGFb,0.5,H,3
86671,TP53BP1,TGFb_0.5_H_3,24.78765,TGFb,0.5,H,3
86672,ADAMTS1,TGFb_0.5_H_3,27.02501,TGFb,0.5,H,3
86673,B2M,TGFb_0.5_H_3,20.9192,TGFb,0.5,H,3
86674,BHLHE40,TGFb_0.5_H_3,28.77433,TGFb,0.5,H,3
86675,ITGA1,TGFb_0.5_H_3,28.07438,TGFb,0.5,H,3
86676,JUN,TGFb_0.5_H_3,25.0196,TGFb,0.5,H,3
86677,LARP6,TGFb_0.5_H_3,24.84597,TGFb,0.5,H,3
86678,LOXL2,TGFb_0.5_H_3,27.27228,TGFb,0.5,H,3
86679,THBS1,TGFb_0.5_H_3,22.49476,TGFb,0.5,H,3
86680,CTGF,TGFb_0.5_H_3,28.60378,TGFb,0.5,H,3
86681,EGR2,TGFb_0.5_H_3,NA,TGFb,0.5,H,3
86682,ENG,TGFb_0.5_H_3,24.80847,TGFb,0.5,H,3
86683,FBLN1,TGFb_0.5_H_3,19.66664,TGFb,0.5,H,3
86684,PPIA,TGFb_0.5_H_3,22.28468,TGFb,0.5,H,3
86685,PTEN,TGFb_0.5_H_3,25.23687,TGFb,0.5,H,3
86686,RARG,TGFb_0.5_H_3,25.09278,TGFb,0.5,H,3
86687,SERPINE1,TGFb_0.5_H_3,25.08237,TGFb,0.5,H,3
86688,VCAN,TGFb_0.5_H_3,24.5612,TGFb,0.5,H,3
86689,CAV1,Control_24_H_3,21.52741,Control,24,H,3
86691,COL1A1,Control_24_H_3,22.07725,Control,24,H,3
86693,LTBP2,Control_24_H_3,23.51664,Control,24,H,3
86694,MMP13,Control_24_H_3,30.80792,Control,24,H,3
86695,MMP2,Control_24_H_3,20.50979,Control,24,H,3
86696,PDGFA,Control_24_H_3,30.92216,Control,24,H,3
86697,THBS2,Control_24_H_3,22.57076,Control,24,H,3
86698,FBN1,Control_24_H_3,21.64374,Control,24,H,3
86699,FN1,Control_24_H_3,18.22767,Control,24,H,3
86700,GADD45B,Control_24_H_3,28.00315,Control,24,H,3
86701,HAS2,Control_24_H_3,28.45815,Control,24,H,3
86702,SERPINE2,Control_24_H_3,26.4882,Control,24,H,3
86703,SKIL,Control_24_H_3,26.42137,Control,24,H,3
86704,SMAD7,Control_24_H_3,30.46335,Control,24,H,3
86705,TGFB1,Control_24_H_3,25.77444,Control,24,H,3
86706,VEGFA,Control_24_H_3,27.1495,Control,24,H,3
86708,ACTA2,Control_24_H_3,25.87089,Control,24,H,3
86709,ATP6AP1,Control_24_H_3,25.24354,Control,24,H,3
86710,BGN,Control_24_H_3,26.43203,Control,24,H,3
86711,IL6,Control_24_H_3,28.47817,Control,24,H,3
86712,ITGA2,Control_24_H_3,28.101,Control,24,H,3
86713,JUNB,Control_24_H_3,27.67365,Control,24,H,3
86714,LOXL1,Control_24_H_3,24.5862,Control,24,H,3
86715,TGFBR2,Control_24_H_3,24.60354,Control,24,H,3
86716,COL5A1,Control_24_H_3,28.73942,Control,24,H,3
86717,DCN,Control_24_H_3,19.17064,Control,24,H,3
86718,ELN,Control_24_H_3,32.60055,Control,24,H,3
86719,ETS1,Control_24_H_3,26.97318,Control,24,H,3
86720,CDKN2A,Control_24_H_3,27.49008,Control,24,H,3
86721,PSMD14,Control_24_H_3,26.98502,Control,24,H,3
86722,RARA,Control_24_H_3,28.59258,Control,24,H,3
86723,RHOB,Control_24_H_3,25.60475,Control,24,H,3
86724,TIMP3,Control_24_H_3,22.88704,Control,24,H,3
86725,PPP3CA,Control_24_H_3,24.79229,Control,24,H,3
86726,CDKN2B,Control_24_H_3,31.17946,Control,24,H,3
86727,COL1A2,Control_24_H_3,21.84511,Control,24,H,3
86728,COL4A1,Control_24_H_3,27.13892,Control,24,H,3
86729,MMP1,Control_24_H_3,25.33584,Control,24,H,3
86730,MMP14,Control_24_H_3,22.57269,Control,24,H,3
86731,NOX4,Control_24_H_3,NA,Control,24,H,3
86732,PMEPA1,Control_24_H_3,28.94247,Control,24,H,3
86733,TIMP1,Control_24_H_3,20.46416,Control,24,H,3
86734,FGF2,Control_24_H_3,27.95554,Control,24,H,3
86736,GUSB,Control_24_H_3,27.24758,Control,24,H,3
86737,ID1,Control_24_H_3,29.23505,Control,24,H,3
86738,SKI,Control_24_H_3,24.60091,Control,24,H,3
86739,SMAD3,Control_24_H_3,24.5359,Control,24,H,3
86740,SPARC,Control_24_H_3,23.04672,Control,24,H,3
86741,TGFBR1,Control_24_H_3,26.52207,Control,24,H,3
86742,VIM,Control_24_H_3,17.76646,Control,24,H,3
86743,TP53BP1,Control_24_H_3,24.88302,Control,24,H,3
86744,ADAMTS1,Control_24_H_3,27.63226,Control,24,H,3
86745,B2M,Control_24_H_3,20.56078,Control,24,H,3
86746,BHLHE40,Control_24_H_3,28.92496,Control,24,H,3
86747,ITGA1,Control_24_H_3,28.58525,Control,24,H,3
86748,JUN,Control_24_H_3,25.2732,Control,24,H,3
86749,LARP6,Control_24_H_3,25.17461,Control,24,H,3
86750,LOXL2,Control_24_H_3,27.76991,Control,24,H,3
86751,THBS1,Control_24_H_3,23.25243,Control,24,H,3
86752,CTGF,Control_24_H_3,29.22516,Control,24,H,3
86753,EGR2,Control_24_H_3,NA,Control,24,H,3
86754,ENG,Control_24_H_3,25.28832,Control,24,H,3
86755,FBLN1,Control_24_H_3,19.47347,Control,24,H,3
86756,PPIA,Control_24_H_3,22.64403,Control,24,H,3
86757,PTEN,Control_24_H_3,25.20647,Control,24,H,3
86758,RARG,Control_24_H_3,25.02877,Control,24,H,3
86759,SERPINE1,Control_24_H_3,26.94793,Control,24,H,3
86760,VCAN,Control_24_H_3,25.02266,Control,24,H,3
86761,CAV1,Control_1_H_3,21.19868,Control,1,H,3
86763,COL1A1,Control_1_H_3,22.06376,Control,1,H,3
86765,LTBP2,Control_1_H_3,23.62983,Control,1,H,3
86766,MMP13,Control_1_H_3,29.88125,Control,1,H,3
86767,MMP2,Control_1_H_3,20.93468,Control,1,H,3
86768,PDGFA,Control_1_H_3,31.83845,Control,1,H,3
86769,THBS2,Control_1_H_3,22.86096,Control,1,H,3
86770,FBN1,Control_1_H_3,21.65494,Control,1,H,3
86771,FN1,Control_1_H_3,18.01863,Control,1,H,3
86772,GADD45B,Control_1_H_3,28.10877,Control,1,H,3
86773,HAS2,Control_1_H_3,27.11108,Control,1,H,3
86774,SERPINE2,Control_1_H_3,25.44825,Control,1,H,3
86775,SKIL,Control_1_H_3,26.79175,Control,1,H,3
86776,SMAD7,Control_1_H_3,29.10418,Control,1,H,3
86777,TGFB1,Control_1_H_3,25.50624,Control,1,H,3
86778,VEGFA,Control_1_H_3,27.41958,Control,1,H,3
86780,ACTA2,Control_1_H_3,26.31211,Control,1,H,3
86781,ATP6AP1,Control_1_H_3,25.30265,Control,1,H,3
86782,BGN,Control_1_H_3,26.84966,Control,1,H,3
86783,IL6,Control_1_H_3,28.30579,Control,1,H,3
86784,ITGA2,Control_1_H_3,28.10568,Control,1,H,3
86785,JUNB,Control_1_H_3,27.72617,Control,1,H,3
86786,LOXL1,Control_1_H_3,24.68072,Control,1,H,3
86787,TGFBR2,Control_1_H_3,24.46702,Control,1,H,3
86788,COL5A1,Control_1_H_3,28.63801,Control,1,H,3
86789,DCN,Control_1_H_3,19.79435,Control,1,H,3
86790,ELN,Control_1_H_3,31.38608,Control,1,H,3
86791,ETS1,Control_1_H_3,27.34333,Control,1,H,3
86792,CDKN2A,Control_1_H_3,26.90047,Control,1,H,3
86793,PSMD14,Control_1_H_3,26.97935,Control,1,H,3
86794,RARA,Control_1_H_3,28.43824,Control,1,H,3
86795,RHOB,Control_1_H_3,25.47467,Control,1,H,3
86796,TIMP3,Control_1_H_3,22.64851,Control,1,H,3
86797,PPP3CA,Control_1_H_3,25.40487,Control,1,H,3
86798,CDKN2B,Control_1_H_3,32.55592,Control,1,H,3
86799,COL1A2,Control_1_H_3,21.87458,Control,1,H,3
86800,COL4A1,Control_1_H_3,26.9982,Control,1,H,3
86801,MMP1,Control_1_H_3,22.9354,Control,1,H,3
86802,MMP14,Control_1_H_3,22.45784,Control,1,H,3
86803,NOX4,Control_1_H_3,31.31541,Control,1,H,3
86804,PMEPA1,Control_1_H_3,30.44388,Control,1,H,3
86805,TIMP1,Control_1_H_3,20.53114,Control,1,H,3
86806,FGF2,Control_1_H_3,27.88928,Control,1,H,3
86808,GUSB,Control_1_H_3,27.08327,Control,1,H,3
86809,ID1,Control_1_H_3,29.73625,Control,1,H,3
86810,SKI,Control_1_H_3,25.00572,Control,1,H,3
86811,SMAD3,Control_1_H_3,24.64069,Control,1,H,3
86812,SPARC,Control_1_H_3,22.41153,Control,1,H,3
86813,TGFBR1,Control_1_H_3,28.47176,Control,1,H,3
86814,VIM,Control_1_H_3,17.90176,Control,1,H,3
86815,TP53BP1,Control_1_H_3,24.48403,Control,1,H,3
86816,ADAMTS1,Control_1_H_3,27.80196,Control,1,H,3
86817,B2M,Control_1_H_3,20.57262,Control,1,H,3
86818,BHLHE40,Control_1_H_3,28.72494,Control,1,H,3
86819,ITGA1,Control_1_H_3,27.67044,Control,1,H,3
86820,JUN,Control_1_H_3,25.25508,Control,1,H,3
86821,LARP6,Control_1_H_3,25.43824,Control,1,H,3
86822,LOXL2,Control_1_H_3,27.86134,Control,1,H,3
86823,THBS1,Control_1_H_3,22.86812,Control,1,H,3
86824,CTGF,Control_1_H_3,30.73032,Control,1,H,3
86825,EGR2,Control_1_H_3,NA,Control,1,H,3
86826,ENG,Control_1_H_3,25.19732,Control,1,H,3
86827,FBLN1,Control_1_H_3,19.69691,Control,1,H,3
86828,PPIA,Control_1_H_3,22.4173,Control,1,H,3
86829,PTEN,Control_1_H_3,25.70926,Control,1,H,3
86830,RARG,Control_1_H_3,25.11711,Control,1,H,3
86831,SERPINE1,Control_1_H_3,25.29514,Control,1,H,3
86832,VCAN,Control_1_H_3,25.11243,Control,1,H,3
86833,TP53BP1,Control_48_E_3,24.78477,Control,48,E,3
86834,ADAMTS1,Control_48_E_3,24.89145,Control,48,E,3
86835,B2M,Control_48_E_3,20.11345,Control,48,E,3
86836,BHLHE40,Control_48_E_3,29.15646,Control,48,E,3
86837,ITGA1,Control_48_E_3,27.91451,Control,48,E,3
86838,JUN,Control_48_E_3,23.48911,Control,48,E,3
86839,LARP6,Control_48_E_3,25.40226,Control,48,E,3
86840,LOXL2,Control_48_E_3,27.06045,Control,48,E,3
86841,THBS1,Control_48_E_3,20.53147,Control,48,E,3
86842,CTGF,Control_48_E_3,25.22643,Control,48,E,3
86843,EGR2,Control_48_E_3,30.2074,Control,48,E,3
86844,ENG,Control_48_E_3,24.3887,Control,48,E,3
86845,FBLN1,Control_48_E_3,18.82316,Control,48,E,3
86846,PPIA,Control_48_E_3,22.83655,Control,48,E,3
86847,PTEN,Control_48_E_3,24.78235,Control,48,E,3
86848,RARG,Control_48_E_3,26.03898,Control,48,E,3
86849,SERPINE1,Control_48_E_3,23.4903,Control,48,E,3
86850,VCAN,Control_48_E_3,24.10434,Control,48,E,3
86851,CAV1,Control_48_E_3,21.26566,Control,48,E,3
86853,COL1A1,Control_48_E_3,NA,Control,48,E,3
86855,LTBP2,Control_48_E_3,23.65868,Control,48,E,3
86856,MMP13,Control_48_E_3,28.82532,Control,48,E,3
86857,MMP2,Control_48_E_3,20.72717,Control,48,E,3
86858,PDGFA,Control_48_E_3,28.87905,Control,48,E,3
86859,THBS2,Control_48_E_3,22.72919,Control,48,E,3
86860,FBN1,Control_48_E_3,22.61138,Control,48,E,3
86861,FN1,Control_48_E_3,18.46903,Control,48,E,3
86862,GADD45B,Control_48_E_3,27.03333,Control,48,E,3
86863,HAS2,Control_48_E_3,30.09323,Control,48,E,3
86864,SERPINE2,Control_48_E_3,21.94637,Control,48,E,3
86865,SKIL,Control_48_E_3,26.62131,Control,48,E,3
86866,SMAD7,Control_48_E_3,28.36698,Control,48,E,3
86867,TGFB1,Control_48_E_3,25.16694,Control,48,E,3
86868,VEGFA,Control_48_E_3,27.30254,Control,48,E,3
86870,ACTA2,Control_48_E_3,24.10659,Control,48,E,3
86871,ATP6AP1,Control_48_E_3,24.71377,Control,48,E,3
86872,BGN,Control_48_E_3,23.70736,Control,48,E,3
86873,IL6,Control_48_E_3,27.36829,Control,48,E,3
86874,ITGA2,Control_48_E_3,26.12059,Control,48,E,3
86875,JUNB,Control_48_E_3,26.47445,Control,48,E,3
86876,LOXL1,Control_48_E_3,23.43106,Control,48,E,3
86877,TGFBR2,Control_48_E_3,23.60108,Control,48,E,3
86878,COL5A1,Control_48_E_3,28.46543,Control,48,E,3
86879,DCN,Control_48_E_3,20.22722,Control,48,E,3
86880,ELN,Control_48_E_3,32.59606,Control,48,E,3
86881,ETS1,Control_48_E_3,27.10217,Control,48,E,3
86882,CDKN2A,Control_48_E_3,26.83894,Control,48,E,3
86883,PSMD14,Control_48_E_3,27.0555,Control,48,E,3
86884,RARA,Control_48_E_3,28.43014,Control,48,E,3
86885,RHOB,Control_48_E_3,24.55621,Control,48,E,3
86886,TIMP3,Control_48_E_3,21.58769,Control,48,E,3
86887,PPP3CA,Control_48_E_3,24.51127,Control,48,E,3
86888,CDKN2B,Control_48_E_3,31.04916,Control,48,E,3
86889,COL1A2,Control_48_E_3,20.49368,Control,48,E,3
86890,COL4A1,Control_48_E_3,25.98058,Control,48,E,3
86891,MMP1,Control_48_E_3,25.35572,Control,48,E,3
86892,MMP14,Control_48_E_3,21.98645,Control,48,E,3
86893,NOX4,Control_48_E_3,29.71373,Control,48,E,3
86894,PMEPA1,Control_48_E_3,27.89635,Control,48,E,3
86895,TIMP1,Control_48_E_3,18.35804,Control,48,E,3
86896,FGF2,Control_48_E_3,25.35441,Control,48,E,3
86898,GUSB,Control_48_E_3,26.16024,Control,48,E,3
86899,ID1,Control_48_E_3,27.97927,Control,48,E,3
86900,SKI,Control_48_E_3,24.53795,Control,48,E,3
86901,SMAD3,Control_48_E_3,24.86397,Control,48,E,3
86902,SPARC,Control_48_E_3,21.87359,Control,48,E,3
86903,TGFBR1,Control_48_E_3,25.87151,Control,48,E,3
86904,VIM,Control_48_E_3,18.55517,Control,48,E,3
86905,TP53BP1,Control_2_B_3,24.59642,Control,2,B,3
86906,ADAMTS1,Control_2_B_3,23.91304,Control,2,B,3
86907,B2M,Control_2_B_3,20.15643,Control,2,B,3
86908,BHLHE40,Control_2_B_3,29.49482,Control,2,B,3
86909,ITGA1,Control_2_B_3,27.18545,Control,2,B,3
86910,JUN,Control_2_B_3,24.11889,Control,2,B,3
86911,LARP6,Control_2_B_3,25.02677,Control,2,B,3
86912,LOXL2,Control_2_B_3,26.41897,Control,2,B,3
86913,THBS1,Control_2_B_3,20.63274,Control,2,B,3
86914,CTGF,Control_2_B_3,26.07696,Control,2,B,3
86915,EGR2,Control_2_B_3,NA,Control,2,B,3
86916,ENG,Control_2_B_3,24.38332,Control,2,B,3
86917,FBLN1,Control_2_B_3,20.09903,Control,2,B,3
86918,PPIA,Control_2_B_3,22.20749,Control,2,B,3
86919,PTEN,Control_2_B_3,24.81345,Control,2,B,3
86920,RARG,Control_2_B_3,25.09661,Control,2,B,3
86921,SERPINE1,Control_2_B_3,23.13856,Control,2,B,3
86922,VCAN,Control_2_B_3,22.86199,Control,2,B,3
86923,CAV1,Control_2_B_3,20.79495,Control,2,B,3
86925,COL1A1,Control_2_B_3,20.63096,Control,2,B,3
86927,LTBP2,Control_2_B_3,24.22442,Control,2,B,3
86928,MMP13,Control_2_B_3,30.8409,Control,2,B,3
86929,MMP2,Control_2_B_3,21.41267,Control,2,B,3
86930,PDGFA,Control_2_B_3,30.76781,Control,2,B,3
86931,THBS2,Control_2_B_3,23.20539,Control,2,B,3
86932,FBN1,Control_2_B_3,22.47231,Control,2,B,3
86933,FN1,Control_2_B_3,17.91426,Control,2,B,3
86934,GADD45B,Control_2_B_3,26.68254,Control,2,B,3
86935,HAS2,Control_2_B_3,28.6269,Control,2,B,3
86936,SERPINE2,Control_2_B_3,23.28057,Control,2,B,3
86937,SKIL,Control_2_B_3,26.13668,Control,2,B,3
86938,SMAD7,Control_2_B_3,27.72381,Control,2,B,3
86939,TGFB1,Control_2_B_3,24.92858,Control,2,B,3
86940,VEGFA,Control_2_B_3,27.49474,Control,2,B,3
86942,ACTA2,Control_2_B_3,24.63721,Control,2,B,3
86943,ATP6AP1,Control_2_B_3,24.48571,Control,2,B,3
86944,BGN,Control_2_B_3,23.56684,Control,2,B,3
86945,IL6,Control_2_B_3,28.4397,Control,2,B,3
86946,ITGA2,Control_2_B_3,26.46882,Control,2,B,3
86947,JUNB,Control_2_B_3,26.5871,Control,2,B,3
86948,LOXL1,Control_2_B_3,23.18529,Control,2,B,3
86949,TGFBR2,Control_2_B_3,23.96307,Control,2,B,3
86950,COL5A1,Control_2_B_3,27.09105,Control,2,B,3
86951,DCN,Control_2_B_3,19.72755,Control,2,B,3
86952,ELN,Control_2_B_3,32.37687,Control,2,B,3
86953,ETS1,Control_2_B_3,26.61502,Control,2,B,3
86954,CDKN2A,Control_2_B_3,26.2936,Control,2,B,3
86955,PSMD14,Control_2_B_3,26.61572,Control,2,B,3
86956,RARA,Control_2_B_3,28.61451,Control,2,B,3
86957,RHOB,Control_2_B_3,24.8317,Control,2,B,3
86958,TIMP3,Control_2_B_3,24.14846,Control,2,B,3
86959,PPP3CA,Control_2_B_3,24.53191,Control,2,B,3
86960,CDKN2B,Control_2_B_3,30.22383,Control,2,B,3
86961,COL1A2,Control_2_B_3,20.17808,Control,2,B,3
86962,COL4A1,Control_2_B_3,26.41073,Control,2,B,3
