,Assay,Sample,Ct,treatment,time,cell_line,replicate
32480,LOXL2,Baseline_0_I_6,27.88556,Baseline,0,I,6
32481,THBS1,Baseline_0_I_6,24.37481,Baseline,0,I,6
32482,CTGF,Baseline_0_I_6,27.76974,Baseline,0,I,6
32483,EGR2,Baseline_0_I_6,NA,Baseline,0,I,6
32484,ENG,Baseline_0_I_6,24.96227,Baseline,0,I,6
32485,FBLN1,Baseline_0_I_6,20.10123,Baseline,0,I,6
32486,PPIA,Baseline_0_I_6,22.24109,Baseline,0,I,6
32487,PTEN,Baseline_0_I_6,25.09387,Baseline,0,I,6
32488,RARG,Baseline_0_I_6,24.57685,Baseline,0,I,6
32489,SERPINE1,Baseline_0_I_6,23.66808,Baseline,0,I,6
32490,VCAN,Baseline_0_I_6,24.27901,Baseline,0,I,6
32491,CAV1,Baseline_0_I_6,21.32102,Baseline,0,I,6
32493,COL1A1,Baseline_0_I_6,22.09885,Baseline,0,I,6
32495,LTBP2,Baseline_0_I_6,22.99643,Baseline,0,I,6
32496,MMP13,Baseline_0_I_6,30.42107,Baseline,0,I,6
32497,MMP2,Baseline_0_I_6,20.20256,Baseline,0,I,6
32498,PDGFA,Baseline_0_I_6,31.90788,Baseline,0,I,6
32499,THBS2,Baseline_0_I_6,23.51194,Baseline,0,I,6
32500,FBN1,Baseline_0_I_6,21.73885,Baseline,0,I,6
32501,FN1,Baseline_0_I_6,17.30046,Baseline,0,I,6
32502,GADD45B,Baseline_0_I_6,28.55639,Baseline,0,I,6
32503,HAS2,Baseline_0_I_6,28.90726,Baseline,0,I,6
32504,SERPINE2,Baseline_0_I_6,22.83658,Baseline,0,I,6
32505,SKIL,Baseline_0_I_6,26.69913,Baseline,0,I,6
32506,SMAD7,Baseline_0_I_6,31.5258,Baseline,0,I,6
32507,TGFB1,Baseline_0_I_6,25.12521,Baseline,0,I,6
32508,VEGFA,Baseline_0_I_6,27.8949,Baseline,0,I,6
32510,ACTA2,Baseline_0_I_6,25.67336,Baseline,0,I,6
32511,ATP6AP1,Baseline_0_I_6,24.81337,Baseline,0,I,6
32512,BGN,Baseline_0_I_6,25.47397,Baseline,0,I,6
32513,IL6,Baseline_0_I_6,29.47956,Baseline,0,I,6
32514,ITGA2,Baseline_0_I_6,27.02569,Baseline,0,I,6
32515,JUNB,Baseline_0_I_6,27.37184,Baseline,0,I,6
32516,LOXL1,Baseline_0_I_6,23.90536,Baseline,0,I,6
32517,TGFBR2,Baseline_0_I_6,23.96421,Baseline,0,I,6
32518,COL5A1,Baseline_0_I_6,29.1229,Baseline,0,I,6
32519,DCN,Baseline_0_I_6,19.29569,Baseline,0,I,6
32520,ELN,Baseline_0_I_6,33.3866,Baseline,0,I,6
32521,ETS1,Baseline_0_I_6,27.19025,Baseline,0,I,6
32522,CDKN2A,Baseline_0_I_6,26.49182,Baseline,0,I,6
32523,PSMD14,Baseline_0_I_6,26.31968,Baseline,0,I,6
32524,RARA,Baseline_0_I_6,28.63478,Baseline,0,I,6
32525,RHOB,Baseline_0_I_6,25.40596,Baseline,0,I,6
32526,TIMP3,Baseline_0_I_6,21.58822,Baseline,0,I,6
32527,PPP3CA,Baseline_0_I_6,25.18863,Baseline,0,I,6
32528,CDKN2B,Baseline_0_I_6,30.25897,Baseline,0,I,6
32529,COL1A2,Baseline_0_I_6,20.83643,Baseline,0,I,6
32530,COL4A1,Baseline_0_I_6,27.43772,Baseline,0,I,6
32531,MMP1,Baseline_0_I_6,21.13022,Baseline,0,I,6
32532,MMP14,Baseline_0_I_6,21.49079,Baseline,0,I,6
32533,NOX4,Baseline_0_I_6,29.54665,Baseline,0,I,6
32534,PMEPA1,Baseline_0_I_6,30.06212,Baseline,0,I,6
32535,TIMP1,Baseline_0_I_6,18.91071,Baseline,0,I,6
32536,FGF2,Baseline_0_I_6,27.03976,Baseline,0,I,6
32538,GUSB,Baseline_0_I_6,27.4007,Baseline,0,I,6
32539,ID1,Baseline_0_I_6,30.07928,Baseline,0,I,6
32540,SKI,Baseline_0_I_6,24.10261,Baseline,0,I,6
32541,SMAD3,Baseline_0_I_6,25.51154,Baseline,0,I,6
32542,SPARC,Baseline_0_I_6,22.27777,Baseline,0,I,6
32543,TGFBR1,Baseline_0_I_6,25.95734,Baseline,0,I,6
32544,VIM,Baseline_0_I_6,17.5634,Baseline,0,I,6
32545,TP53BP1,TGFb_1_C_6,24.84293,TGFb,1,C,6
32546,ADAMTS1,TGFb_1_C_6,24.09214,TGFb,1,C,6
32547,B2M,TGFb_1_C_6,20.34528,TGFb,1,C,6
32548,BHLHE40,TGFb_1_C_6,27.02789,TGFb,1,C,6
32549,ITGA1,TGFb_1_C_6,28.07758,TGFb,1,C,6
32550,JUN,TGFb_1_C_6,24.35242,TGFb,1,C,6
32551,LARP6,TGFb_1_C_6,25.39584,TGFb,1,C,6
32552,LOXL2,TGFb_1_C_6,26.26524,TGFb,1,C,6
32553,THBS1,TGFb_1_C_6,20.8468,TGFb,1,C,6
32554,CTGF,TGFb_1_C_6,23.62926,TGFb,1,C,6
32555,EGR2,TGFb_1_C_6,29.85298,TGFb,1,C,6
32556,ENG,TGFb_1_C_6,24.73278,TGFb,1,C,6
32557,FBLN1,TGFb_1_C_6,20.45276,TGFb,1,C,6
32558,PPIA,TGFb_1_C_6,22.3423,TGFb,1,C,6
32559,PTEN,TGFb_1_C_6,24.79226,TGFb,1,C,6
32560,RARG,TGFb_1_C_6,25.34162,TGFb,1,C,6
32561,SERPINE1,TGFb_1_C_6,22.33888,TGFb,1,C,6
32562,VCAN,TGFb_1_C_6,23.78319,TGFb,1,C,6
32563,CAV1,TGFb_1_C_6,21.06458,TGFb,1,C,6
32565,COL1A1,TGFb_1_C_6,20.70824,TGFb,1,C,6
32567,LTBP2,TGFb_1_C_6,24.4074,TGFb,1,C,6
32568,MMP13,TGFb_1_C_6,29.71601,TGFb,1,C,6
